2023-08-25 10:48:16.7386|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5136 |url: |action: 
2023-08-25 10:48:16.7386|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2023-08-25 10:48:16.7386|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2023-08-25 10:48:16.7386|0|INFO|Microsoft.Hosting.Lifetime|Content root path: D:\Project\C#\KChatServe\KChatServe\ |url: |action: 
2023-08-25 10:50:42.8348|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7285 |url: |action: 
2023-08-25 10:50:42.8348|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5136 |url: |action: 
2023-08-25 10:50:42.8348|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2023-08-25 10:50:42.8348|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2023-08-25 10:50:42.8348|0|INFO|Microsoft.Hosting.Lifetime|Content root path: D:\Project\C#\KChatServe\KChatServe\ |url: |action: 
2023-08-25 10:54:34.0973|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7285 |url: |action: 
2023-08-25 10:54:34.0973|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5136 |url: |action: 
2023-08-25 10:54:34.0973|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2023-08-25 10:54:34.0973|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2023-08-25 10:54:34.0973|0|INFO|Microsoft.Hosting.Lifetime|Content root path: D:\Project\C#\KChatServe\KChatServe\ |url: |action: 
2023-08-25 10:57:08.3692|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7285 |url: |action: 
2023-08-25 10:57:08.3782|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5136 |url: |action: 
2023-08-25 10:57:08.3782|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2023-08-25 10:57:08.3782|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2023-08-25 10:57:08.3782|0|INFO|Microsoft.Hosting.Lifetime|Content root path: D:\Project\C#\KChatServe\KChatServe\ |url: |action: 
2023-08-25 11:15:04.4679|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7285 |url: |action: 
2023-08-25 11:15:04.4679|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5136 |url: |action: 
2023-08-25 11:15:04.4679|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2023-08-25 11:15:04.4679|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2023-08-25 11:15:04.4679|0|INFO|Microsoft.Hosting.Lifetime|Content root path: D:\Project\C#\KChatServe\KChatServe\ |url: |action: 
